Corporate Unit Manager,Customer Service/Support,Management,Sales/Retail/Business Development,"Travel, Transportation and Tourism",Management Consulting Services,Business Services - Other,6500,8000,Manager
Veterinary Medical Representative,Medical,Marketing,Sales/Retail/Business Development,Veterinary   ,Select,Select,2000,2500,Entry Level
Direct Sales and Marketing Agent,Sales/Retail/Business Development,Marketing,Select,Insurance,Select,Select,1500,2500,Entry Level
Reservation Supervisor,Food Services/Hospitality,Customer Service/Support,Management,Business Services - Other,"Travel, Transportation and Tourism",Select,4000,5000,Experienced (Non-Manager)
Customer Support Engineer,Customer Service/Support,Select,Select,Computer Hardware,Computer Networking   ,Computer Software,2000,3500,Entry Level
Corporate Account Executive,Customer Service/Support,Sales/Retail/Business Development,Select,Business Services - Other,Select,Select,2500,3000,Entry Level
General Manager,Management,Project/Program Management,Administration,Education,Religious Institutions   ,Select,2500,4000,Experienced (Non-Manager)
Sales & Marketing Executive,Sales/Retail/Business Development,IT/Software Development,Marketing,Computer Software,Computer Games   ,Information Technology Services   ,3500,5000,Experienced (Non-Manager)
Account Manger,Marketing,Sales/Retail/Business Development,Select,Information Technology Services   ,Computer Software,Select,10000,15000,Manager
"Technical Support Engineer ""French Speaker""",Engineering,Select,Select,Information Technology Services   ,Select,Select,5000,7000,Entry Level
ERP IT Manager,IT/Software Development,Select,Select,Medical Devices and Supplies,Select,Select,10000,12000,Manager
Quality Assurance & Process Improvement Team Leader,IT/Software Development,Quality Assurance/Quality Control,Engineering,Information Technology Services   ,Select,Select,6000,9000,Experienced (Non-Manager)
Lead Software Engineer(.Net),IT/Software Development,Engineering,Select,Information Technology Services   ,Select,Select,6000,9000,Experienced (Non-Manager)
Technical Writer ,Editorial/Writing,IT/Software Development,Select,Information Technology Services   ,Select,Select,1000,3000,Entry Level
UI/ UX Designer,Creative/Design,Select,Select,Information Technology Services   ,Select,Select,1500,8000,Experienced (Non-Manager)
Web Developer ,IT/Software Development,Select,Select,Medical Devices and Supplies,Business Services - Other,Select,3000,6000,Entry Level
Senior PHP Developer,IT/Software Development,Select,Select,Computer Software,Computer/IT Services,Select,3500,7500,Experienced (Non-Manager)
Senior Quality Control Engineer ,Quality Assurance/Quality Control,IT/Software Development,Select,Computer/IT Services,Information Technology Services   ,Select,4000,6500,Experienced (Non-Manager)
Sales Engineer,Engineering,Sales/Retail/Business Development,Select,Food and Beverage Production,Select,Select,3000,4000,Entry Level
International Call center Advisor UK Account ,Customer Service/Support,Select,Select,Human Resources   ,Select,Select,2400,3000,Entry Level
Senior Web Developer,IT/Software Development,Creative/Design,Select,Telecommunications Services,Select,Select,3500,5000,Experienced (Non-Manager)
Enterprise Technical Support Engineer ,IT/Software Development,Customer Service/Support,Select,Human Resources   ,Select,Select,3000,3500,Experienced (Non-Manager)
Tele-Sales Agents,Customer Service/Support,Sales/Retail/Business Development,Select,Human Resources   ,Select,Select,1300,1600,Entry Level
Electrical and Electronics Technician,Manufacturing/Production/Operations,Installation/Maintenance/Repair,Select,Manufacturing,Textiles   ,Select,3500,3500,Entry Level
Electrician,Manufacturing/Production/Operations,Installation/Maintenance/Repair,Select,Manufacturing,Textiles   ,Select,2750,2750,Entry Level
Mechanical Technician,Manufacturing/Production/Operations,Installation/Maintenance/Repair,Select,Manufacturing,Textiles   ,Select,3500,3500,Entry Level
Mechanic,Installation/Maintenance/Repair,Select,Select,Manufacturing,Textiles   ,Select,2750,2750,Entry Level
Call center Advisor,Customer Service/Support,Select,Select,Human Resources   ,Select,Select,900,1200,Entry Level
German Call Center,Customer Service/Support,Select,Select,Human Resources   ,Select,Select,3400,4000,Entry Level
ADSL Technical Support Agent ,IT/Software Development,Customer Service/Support,Select,Human Resources   ,Select,Select,1700,2000,Entry Level
Real Estate Sales Advisor,Sales/Retail/Business Development,Marketing,Select,Real Estate/Property Management,Select,Select,1000,1500,Entry Level
Architect,Engineering,Select,Select,Architectural and Design Services,Select,Select,2500,3500,Entry Level
Sales & Marketing Representative,Sales/Retail/Business Development,Marketing,Select,Food and Beverage Production,Import and Export   ,Select,1000,1750,Experienced (Non-Manager)
Sales Co-ordinator,Customer Service/Support,Sales/Retail/Business Development,Administration,Food and Beverage Production,Import and Export   ,Select,1500,2000,Experienced (Non-Manager)
Projects  Director,Engineering,Select,Select,Construction - Industrial Facilities and Infrastructure,Select,Select,10000,15000,Manager
Production Engineer,Engineering,Manufacturing/Production/Operations,Select,Consumer Packaged Goods Manufacturing,Manufacturing,Select,3000,5000,Entry Level
web designer & PHP web developer,IT/Software Development,Select,Select,Computer Software,Graphic Design   ,Select,1500,2000,Entry Level
Java Engineer,IT/Software Development,Select,Select,Information Technology Services   ,Select,Select,15,15,Experienced (Non-Manager)
Social Media Specialist,Marketing,Editorial/Writing,Select,Information Technology Services   ,Online Media   ,Select,2000,3500,Entry Level
Telesales Agent,Sales/Retail/Business Development,Customer Service/Support,Select,Marketing and Advertising   ,Select,Select,2500,5000,Experienced (Non-Manager)
Engineers,Engineering,Select,Select,Architectural and Design Services,Select,Select,0,0,Experienced (Non-Manager)
Software Engineer JAVA / J2EE ,IT/Software Development,Select,Select,Computer Software,Select,Select,4000,8000,Experienced (Non-Manager)
Online Marketing Specialist,Marketing,Select,Select,Advertising and PR Services,Marketing and Advertising   ,Select,2000,3000,Experienced (Non-Manager)
Executive Assistant to the CEO,Research,Marketing,Administration,Online Media   ,Market Research   ,Marketing and Advertising   ,1500,2500,Entry Level
Social Media & Marketing Associate,Marketing,Select,Select,Online Media   ,Internet Services,Information Technology Services   ,800,1200,Experienced (Non-Manager)
Account Executive,Sales/Retail/Business Development,Marketing,Select,Human Resources   ,Select,Select,3000,4000,Entry Level
Operations Executive,Project/Program Management,Administration,Select,Human Resources   ,Select,Select,1500,2000,Entry Level
Web & Graphic Designer,Creative/Design,Select,Select,Graphic Design   ,Select,Select,800,1100,Entry Level
Accountant,Accounting/Finance/Insurance,Management,Engineering,Accounting and Auditing Services,Computer/IT Services,Engineering - Mechanical or Industrial   ,1000,2000,Entry Level
محاسب /محاسب انتاج,Accounting/Finance/Insurance,Management,Engineering,Accounting and Auditing Services,Computer/IT Services,Engineering - Mechanical or Industrial   ,0,0,Entry Level
Marketing Manager,Marketing,Select,Select,Banking,Select,Select,12000,18000,Manager
Senior iOS Developer,IT/Software Development,Engineering,Select,Computer Software,Select,Select,4000,6000,Experienced (Non-Manager)
Project Manger,Project/Program Management,IT/Software Development,Select,Information Technology Services   ,Select,Select,10000,15000,Experienced (Non-Manager)
International Telesales Advisor ,Sales/Retail/Business Development,Customer Service/Support,Select,Translation and Localization   ,Select,Select,2500,4000,Experienced (Non-Manager)
Call Center agent,Customer Service/Support,Select,Select,Consumer Services   ,Select,Select,2400,2400,Entry Level
Senior/Junior Java Developer,IT/Software Development,Engineering,Select,Translation and Localization   ,Select,Select,4000,8000,Experienced (Non-Manager)
PHP Developer [Ref.P1312],IT/Software Development,Select,Select,Computer Software,Computer/IT Services,Information Technology Services   ,1000,10000,Experienced (Non-Manager)
Data Entry [Ref.D1312],Editorial/Writing,IT/Software Development,Select,Computer Software,Computer/IT Services,Writing and Editing,500,5000,Experienced (Non-Manager)
Executive Secretary,Administration,Business ,Research,Import and Export   ,Logistics and Supply Chain   ,Chemicals/Petro-Chemicals,800,1500,Entry Level
Sales & Marketing Agent,Sales/Retail/Business Development,Customer Service/Support,Marketing,Medical Devices and Supplies,Outsourcing/Offshoring   ,Telecommunications Services,2000,2700,Entry Level
Sales Executive ,Sales/Retail/Business Development,Engineering,Select,Construction - Industrial Facilities and Infrastructure,Manufacturing,Engineering - Mechanical or Industrial   ,1500,2000,Entry Level
 Electrical / Generator Engineer,Engineering,Select,Select,Engineering - Mechanical or Industrial   ,Select,Select,3500,5000,Experienced (Non-Manager)
Telecom Engineer,Engineering,Select,Select,Telecommunications Services,Select,Select,3500,5000,Experienced (Non-Manager)
Project Coordinator,Project/Program Management,Administration,Select,Advertising and PR Services,Select,Select,2000,5000,Experienced (Non-Manager)
Researcher,Research,Medical,Select,Market Research   ,Select,Select,2000,3000,Entry Level
Software Engineer,IT/Software Development,Select,Select,Computer Software,Select,Select,2000,3000,Experienced (Non-Manager)
Call Center Agent ,Customer Service/Support,Select,Select,Consumer Services   ,Select,Select,1100,1200,Entry Level
Head Of Field (Marketing),Marketing,Select,Select,"Electronics, Components, and Semiconductor Mfg",Marketing and Advertising   ,Select,6000,8000,Manager
Production Manager (Advertising),Quality Assurance/Quality Control,Engineering,Marketing,"Electronics, Components, and Semiconductor Mfg",Marketing and Advertising   ,Select,3500,4000,Manager
Sales Manager (Network & Security Solutions),IT/Software Development,Sales/Retail/Business Development,Select,Information Technology Services   ,Computer Networking   ,Computer/IT Services,5000,8000,Manager
Senior PHP Developer,IT/Software Development,Select,Select,Computer/IT Services,Select,Select,3500,5000,Experienced (Non-Manager)
Call center agent,Customer Service/Support,Select,Select,Telecommunications Services,Select,Select,800,2000,Entry Level
2D Graphic Designer ,Creative/Design,Select,Select,"Electronics, Components, and Semiconductor Mfg",Select,Select,3000,3500,Experienced (Non-Manager)
3D Graphic Designer ,Creative/Design,Select,Select,"Electronics, Components, and Semiconductor Mfg",Marketing and Advertising   ,Select,3000,3500,Experienced (Non-Manager)
Senior Graphic Designer,Creative/Design,Select,Select,"Electronics, Components, and Semiconductor Mfg",Select,Select,4000,5000,Experienced (Non-Manager)
Marketing specialist ,Marketing,Select,Select,"Electronics, Components, and Semiconductor Mfg",Marketing and Advertising   ,Select,2500,3000,Experienced (Non-Manager)
MDM (Marketing Development Manager),Marketing,Select,Select,"Electronics, Components, and Semiconductor Mfg",Marketing and Advertising   ,Select,4000,5000,Manager
English Teacher,Education/Training,Editorial/Writing,Select,Education,Select,Select,4500,20000,Experienced (Non-Manager)
Web developer,IT/Software Development,Select,Select,Internet Services,Select,Select,1000,2000,Entry Level
Senior .Net Developer,IT/Software Development,Select,Select,Computer Software,Information Technology Services   ,Select,3000,6000,Experienced (Non-Manager)
Instructional Designer,Creative/Design,Select,Select,Education,Computer Software,Graphic Design   ,2000,4000,Entry Level
Customer Care Agent,Customer Service/Support,Select,Select,Marketing and Advertising   ,Select,Select,1000,1300,Entry Level
E-Commerce Agent,Marketing,IT/Software Development,Select,Market Research   ,Select,Select,1200,1500,Experienced (Non-Manager)
French Teacher,Education/Training,Editorial/Writing,Select,Education,Select,Select,4500,15000,Experienced (Non-Manager)
Java Developer,IT/Software Development,Select,Select,Computer Software,Computer/IT Services,Select,2000,5000,Entry Level
Account Manager,Project/Program Management,Sales/Retail/Business Development,Marketing,Printing and Publishing,Advertising and PR Services,Select,2000,5000,Manager
Java Developer,IT/Software Development,Select,Select,Computer Software,Computer/IT Services,Select,2000,5000,Entry Level
Senior Java Web Developers ,Creative/Design,Research,Select,Computer Software,Advertising and PR Services,Select,4000,6000,Experienced (Non-Manager)
Software Quality Engineer ,IT/Software Development,Select,Select,Computer Software,Computer/IT Services,Select,3000,6000,Entry Level
Senior Android Developer ,IT/Software Development,Select,Select,Computer Software,Select,Select,3000,7000,Experienced (Non-Manager)
Photo Associate,Creative/Design,Select,Select,Financial Services,Select,Select,4000,6000,Entry Level
Quality Control Engineer,Quality Assurance/Quality Control,Engineering,Select,Internet Services,Select,Select,3000,4000,Entry Level
Senior Pre Sales Consultant  ,IT/Software Development,Select,Select,Computer Software,Computer Hardware,Restaurant/Food Services,2500,3500,Experienced (Non-Manager)
Business Analyst,IT/Software Development,Select,Select,Computer/IT Services,Computer Software,Select,3000,7000,Experienced (Non-Manager)
Senior iOS Developer,IT/Software Development,Select,Select,Translation and Localization   ,Information Technology Services   ,Select,5000,7000,Experienced (Non-Manager)
Sales Exuctive,Business ,Logistics/Transportation,Research,Import and Export   ,Logistics and Supply Chain   ,Chemicals/Petro-Chemicals,800,2000,Experienced (Non-Manager)
Telesales representative,Marketing,Sales/Retail/Business Development,Customer Service/Support,Telecommunications Services,Select,Select,2000,6000,Entry Level
Customer Service Representative ,Customer Service/Support,Select,Select,Medical Devices and Supplies,Select,Select,3300,3800,Entry Level
Web designer ,IT/Software Development,Select,Select,Advertising and PR Services,Select,Select,850,1000,Entry Level
Senior Sales Consultant  ,IT/Software Development,Sales/Retail/Business Development,Select,Computer Software,Computer Hardware,Select,2500,3500,Experienced (Non-Manager)
Junior Sales Consultant  - Fresh Graduate ,IT/Software Development,Sales/Retail/Business Development,Select,Computer Software,Computer Hardware,Select,1000,1500,Entry Level
Senior .Net Developer,IT/Software Development,Select,Select,Computer Software,Information Technology Services   ,Select,3000,6000,Experienced (Non-Manager)
Brand Manager,Marketing,Sales/Retail/Business Development,Select,Printing and Publishing,Select,Select,5000,8000,Manager
Technical Office Manager,Engineering,Select,Select,Construction - Residential & Commercial/Office,Select,Select,14000,15000,Manager
TOGAF,IT/Software Development,Select,Select,Computer Software,Advertising and PR Services,Select,2000,4000,Experienced (Non-Manager)
System Engineer,Engineering,Select,Select,Telecommunications Services,Select,Select,2500,3500,Experienced (Non-Manager)
Telesales,Sales/Retail/Business Development,Customer Service/Support,Select,Banking,Select,Select,1000,1500,Experienced (Non-Manager)
Graphic Designer,Creative/Design,Select,Select,Printing and Publishing,Select,Select,1200,2000,Experienced (Non-Manager)
Architecture,Engineering,Select,Select,Architectural and Design Services,Select,Select,4000,7000,Experienced (Non-Manager)
Headmaster,Education/Training,Administration,Project/Program Management,Advertising and PR Services,Education,Select,3500,24000,"Senior Management (e.g. VP, CEO)"
Application Support Engineer ,IT/Software Development,Select,Select,Computer/IT Services,Computer and Network Security   ,Computer Software,5000,6000,Entry Level
Digital Media Executive,Marketing,Select,Select,Advertising and PR Services,Marketing and Advertising   ,Select,2000,4000,Experienced (Non-Manager)
Customer Service Agent - Raya Contact Center,Customer Service/Support,Select,Select,Telecommunications Services,Select,Select,1000,2000,Entry Level
Sales Engineer,Sales/Retail/Business Development,Engineering,Installation/Maintenance/Repair,Computer/IT Services,Information Technology Services   ,Select,4000,5000,Experienced (Non-Manager)
Presales Engineer ,Installation/Maintenance/Repair,Engineering,Sales/Retail/Business Development,Computer/IT Services,Information Technology Services   ,Select,4000,5000,Experienced (Non-Manager)
Help Desk Engineer,Installation/Maintenance/Repair,IT/Software Development,Select,Information Technology Services   ,Select,Select,3500,7000,Experienced (Non-Manager)
Community Manager,Project/Program Management,Customer Service/Support,Select,Real Estate/Property Management,Consumer Services   ,Select,3000,4000,Experienced (Non-Manager)
Mechanical Engineer,Manufacturing/Production/Operations,Engineering,Select,Engineering - Mechanical or Industrial   ,Select,Select,1500,2000,Experienced (Non-Manager)
Copywriter ,Editorial/Writing,Select,Select,Advertising and PR Services,Select,Select,5000,7000,Experienced (Non-Manager)
Sales and Marketing Executive,Sales/Retail/Business Development,Marketing,Select,Construction - Industrial Facilities and Infrastructure,Select,Select,1500,2500,Experienced (Non-Manager)
IT Retail Management System Head,IT/Software Development,Select,Select,Computer/IT Services,Management Consulting Services,Select,3000,10000,Manager
Secretary ,Administration,Customer Service/Support,Sales/Retail/Business Development,Medical Devices and Supplies,Select,Select,1200,1800,Entry Level
Operations Support Engineer,IT/Software Development,Accounting/Finance/Insurance,Select,Computer/IT Services,Select,Select,2000,6000,Experienced (Non-Manager)
Customer Care Representative ,Customer Service/Support,Select,Select,Telecommunications Services,Select,Select,1500,1800,Entry Level
Fast Service Engineer (Mobile Maintenance),Engineering,Select,Select,Engineering Services,Select,Select,1200,1500,Entry Level
Marketing Agent,Marketing,Select,Select,Internet Services,Information Technology Services   ,Select,1200,2200,Experienced (Non-Manager)
Presales Engineer,IT/Software Development,Select,Select,Computer/IT Services,Computer Software,Select,4000,8000,Experienced (Non-Manager)
Unix Administrator,IT/Software Development,Select,Select,Computer Software,Computer/IT Services,Select,3000,6000,Experienced (Non-Manager)
Software Development Engineer,IT/Software Development,Select,Select,Computer Software,Computer/IT Services,Select,2000,5000,Entry Level
Sharepoint Developers,IT/Software Development,Select,Select,Computer Software,Computer/IT Services,Select,2000,5000,Entry Level
Business Analyst,IT/Software Development,Select,Select,Computer/IT Services,Computer Software,Select,3000,7000,Entry Level
Customer Service Agent ,Customer Service/Support,Select,Select,Outsourcing/Offshoring   ,Telecommunications Services,Select,1500,2000,Entry Level
customer service,Customer Service/Support,Select,Select,Accounting and Auditing Services,Select,Select,1800,3000,Experienced (Non-Manager)
Operation Project manager,Engineering,Project/Program Management,Manufacturing/Production/Operations,Telecommunications Services,Engineering Services,Select,10000,15000,Manager
HTML5 Developer,IT/Software Development,Engineering,Select,Marketing and Advertising   ,Advertising and PR Services,Information Technology Services   ,2000,2500,Experienced (Non-Manager)
Social Media Community & Digital Sales Manager,Marketing,Editorial/Writing,Project/Program Management,Media Production   ,Online Media   ,Music   ,500,1000,Manager
Marketing Consultant,Marketing,Sales/Retail/Business Development,Select,Marketing and Advertising   ,Select,Select,1500,5000,Experienced (Non-Manager)
Executive Secretary,Administration,Research,Select,Import and Export   ,Select,Select,1200,3000,Experienced (Non-Manager)
PHP Developer,IT/Software Development,Select,Select,Information Technology Services   ,Select,Select,1500,2000,Entry Level
Tour operator and Social Media Associate,Marketing,Select,Select,Online Media   ,"Travel, Transportation and Tourism",Select,800,1700,Experienced (Non-Manager)
SW Tester,IT/Software Development,Quality Assurance/Quality Control,Select,Computer Software,Select,Select,2000,3000,Experienced (Non-Manager)
Solution Engineer,Engineering,Select,Select,Manufacturing,Select,Select,2000,2500,Experienced (Non-Manager)
Web Developer,IT/Software Development,Select,Select,Computer Software,Human Resources   ,Select,2000,3000,Entry Level
Business Intelligence ,IT/Software Development,Select,Select,Computer Software,Select,Select,4000,6000,Experienced (Non-Manager)
Spare Parts Specialist (Engineer),Engineering,Select,Select,Manufacturing,Select,Select,2000,2500,Experienced (Non-Manager)
Production Engineer ,Engineering,Select,Select,Manufacturing,Select,Select,2000,2500,Experienced (Non-Manager)
UNIX Systems Engineer,IT/Software Development,Engineering,Select,Information Technology Services   ,Select,Select,4000,6000,Experienced (Non-Manager)
Microsoft SQL Database Adminstrator,IT/Software Development,Administration,Select,Information Technology Services   ,Select,Select,4000,6000,Experienced (Non-Manager)
Web Designer,IT/Software Development,Creative/Design,Select,Information Technology Services   ,Select,Select,1300,7000,Entry Level
Lead Software Engineer (CRM),IT/Software Development,Select,Select,Information Technology Services   ,Select,Select,6000,11000,Experienced (Non-Manager)
Industrial Engineer (New  Model Development)  ,Engineering,Select,Select,Manufacturing,Select,Select,2000,2500,Experienced (Non-Manager)
Industrial Engineer (Maintenance and Mechanical )  ,Engineering,Select,Select,Manufacturing,Select,Select,2000,2500,Experienced (Non-Manager)
Graphic Designer,Creative/Design,Select,Select,Marketing and Advertising   ,Select,Select,1800,2000,Entry Level
Engineering Manager,Engineering,Select,Select,Engineering Services,Select,Select,8000,9000,Manager
Assistant Manager (Engineer),Administration,Engineering,Select,Medical Devices and Supplies,Select,Select,5000,6000,Experienced (Non-Manager)
Senior Sales Engineer,Sales/Retail/Business Development,Engineering,Select,Retail,Select,Select,5000,7000,Experienced (Non-Manager)
Service Engineer,Engineering,Select,Select,Retail,Engineering - Mechanical or Industrial   ,Select,2000,3000,Experienced (Non-Manager)
SEO Specialist,Marketing,IT/Software Development,Research,Information Technology Services   ,Advertising and PR Services,Marketing and Advertising   ,3000,5000,Entry Level
Quality Planning Engineer,Engineering,Select,Select,Manufacturing,Select,Select,2000,2500,Experienced (Non-Manager)
ATM & POS Switch Technical Agent,IT/Software Development,Select,Select,Information Technology Services   ,Financial Services,Select,2500,4000,Experienced (Non-Manager)
Senior .NET Developer,IT/Software Development,Select,Select,Telecommunications Services,Select,Select,5500,7000,Experienced (Non-Manager)
Junior .Net Developer ,IT/Software Development,Select,Select,Outsourcing/Offshoring   ,Select,Select,3500,5000,Entry Level
Mechanical Engineer (Mold and Mechanical development),Engineering,Select,Select,Manufacturing,Select,Select,2000,2500,Experienced (Non-Manager)
SEO Specialist (Search Engine Optimization),Marketing,IT/Software Development,Research,Arts and Crafts   ,Select,Select,1500,2500,Entry Level
"(Java, Android,SE ,EE ,ME, IOS) Instructor",Education/Training,IT/Software Development,Select,Computer Software,Computer/IT Services,Information Technology Services   ,2500,5000,Experienced (Non-Manager)
Oracle Solaris Unix,Education/Training,IT/Software Development,Select,Computer Networking   ,Computer/IT Services,Information Technology Services   ,2500,5000,Experienced (Non-Manager)
System Administrator ,IT/Software Development,Select,Select,Computer/IT Services,Select,Select,4000,5000,Experienced (Non-Manager)
System Administrator ,IT/Software Development,Select,Select,Computer/IT Services,Select,Select,3500,5000,Experienced (Non-Manager)
System Administrator ,IT/Software Development,Select,Select,Computer/IT Services,Select,Select,3500,4500,Experienced (Non-Manager)
System Administrator ,IT/Software Development,Select,Select,Computer/IT Services,Select,Select,4000,5000,Experienced (Non-Manager)
System Administrator ,IT/Software Development,Select,Select,Computer/IT Services,Select,Select,3500,5000,Experienced (Non-Manager)
"Graphics Instructor "" Adobe""",Education/Training,IT/Software Development,Select,Computer Software,Computer/IT Services,Information Technology Services   ,2000,3500,Experienced (Non-Manager)
System Administrator ,IT/Software Development,Select,Select,Computer/IT Services,Select,Select,3500,4500,Experienced (Non-Manager)
System Administrator ,IT/Software Development,Select,Select,Computer/IT Services,Select,Select,3500,4500,Experienced (Non-Manager)
German Customer Service Advisers (VF),Customer Service/Support,Select,Select,Consumer Services   ,Select,Select,3000,3500,Entry Level
Indoor Sales,Sales/Retail/Business Development,Customer Service/Support,Select,Retail,"Electronics, Components, and Semiconductor Mfg",Select,1000,1200,Entry Level
Customer Service Adviser  (UK Account) ,Customer Service/Support,Select,Select,Consumer Services   ,Select,Select,2500,3000,Entry Level
Web Developer,IT/Software Development,Select,Select,Computer Software,Computer/IT Services,Select,1500,3000,Experienced (Non-Manager)
Tour Operator,Marketing,Sales/Retail/Business Development,Select,"Travel, Transportation and Tourism",Airlines/Aviation   ,Select,0,0,Entry Level
Senior PHP / Drupal Developer,IT/Software Development,Select,Select,Information Technology Services   ,Select,Select,4000,7000,Experienced (Non-Manager)
Web Designer,IT/Software Development,Creative/Design,Select,Information Technology Services   ,Select,Select,2500,6000,Experienced (Non-Manager)
Account Manager (Advertising / Client Servicing),Marketing,Customer Service/Support,Sales/Retail/Business Development,Advertising and PR Services,Select,Select,3000,5000,Experienced (Non-Manager)
CMA Finance Services Associate ,Manufacturing/Production/Operations,Engineering,Select,Consumer Services   ,Manufacturing,Select,6000,8000,Experienced (Non-Manager)
Senior iOS Developer,IT/Software Development,Select,Select,Computer Software,Select,Select,3000,5000,Experienced (Non-Manager)
Sharepoint Project Manager,IT/Software Development,Select,Select,Information Technology Services   ,Select,Select,10000,15000,Manager
Sharepoint Senior Developer/Architect ,IT/Software Development,Select,Select,Information Technology Services   ,Select,Select,5000,15000,Experienced (Non-Manager)
Marketing Executive ,Marketing,Select,Select,Computer and Network Security   ,Computer Software,Computer Hardware,4000,4500,Experienced (Non-Manager)
Civil Engineer ,Engineering,Select,Select,Manufacturing,Select,Select,3000,5000,Experienced (Non-Manager)
Senior iOS Developer,IT/Software Development,Select,Select,Translation and Localization   ,Information Technology Services   ,Select,5000,7000,Experienced (Non-Manager)
English Translators,Editorial/Writing,Select,Select,Translation and Localization   ,Select,Select,1200,3000,Entry Level
Account Manager,Sales/Retail/Business Development,Customer Service/Support,Select,Advertising and PR Services,Marketing and Advertising   ,Select,1500,3000,Entry Level
E-Marketing Specialist,Marketing,Select,Select,Online Media   ,Select,Select,2000,4000,Experienced (Non-Manager)
Operations Support Specialist,IT/Software Development,Select,Select,Telecommunications Services,Select,Select,4000,5500,Experienced (Non-Manager)
Medical Translator (English to Arabic) ,Editorial/Writing,Medical,Biotech/R&D/Science,Translation and Localization   ,Medical Devices and Supplies,Pharmaceuticals   ,1000,1500,Entry Level
English to Arabic translator,Editorial/Writing,Select,Select,Translation and Localization   ,Select,Select,1000,1500,Entry Level
Senior Java SOA Developer ,Creative/Design,Select,Select,Computer Software,Advertising and PR Services,Computer/IT Services,2000,4000,Experienced (Non-Manager)
Web Content Writer,Editorial/Writing,Marketing,Research,Writing and Editing,Marketing and Advertising   ,Research   ,2000,2500,Entry Level
SEO Expert,Marketing,IT/Software Development,Research,Information Technology Services   ,Advertising and PR Services,Marketing and Advertising   ,4500,5000,Experienced (Non-Manager)
Customer Service Agent ,Customer Service/Support,Select,Select,Consumer Services   ,Select,Select,1100,1200,Entry Level
Customer Service Agent (Saudi Arabia Account),Customer Service/Support,Select,Select,Consumer Services   ,Select,Select,1100,1200,Entry Level
Customer Service Agent,Customer Service/Support,Select,Select,Consumer Services   ,Select,Select,1000,1200,Entry Level
Product Manager,Project/Program Management,Manufacturing/Production/Operations,IT/Software Development,Computer Software,Select,Select,3000,3500,Experienced (Non-Manager)
Tele-sales Agent,Customer Service/Support,Select,Select,Advertising and PR Services,Select,Select,1000,2000,Entry Level
HRMS Application Consultant,IT/Software Development,Select,Select,Computer/IT Services,Computer Software,Select,3000,4000,Experienced (Non-Manager)
Technical Sales Engineer,Engineering,Sales/Retail/Business Development,Select,Food and Beverage Production,Dairy   ,Packaging and Containers   ,3500,8000,Experienced (Non-Manager)
Document Accessibility Remediator,Administration,IT/Software Development,Select,Information Technology Services   ,Internet Services,Select,2000,2500,Entry Level
Document/Policy Analyst,Editorial/Writing,Select,Select,Government and Military,Public Policy   ,Translation and Localization   ,5000,6000,Experienced (Non-Manager)
Strategy Architect Administration Specialist,IT/Software Development,Select,Select,Food and Beverage Production,Select,Select,2000,10000,Experienced (Non-Manager)
Senior / Lead Ruby on Rails developer,IT/Software Development,Select,Select,Internet Services,Select,Select,6000,8000,Experienced (Non-Manager)
Junior PHP developer,IT/Software Development,Select,Select,Computer Software,Computer/IT Services,Select,1000,2000,Entry Level
